"shapeid","x","y"
"1","-122.227497","37.992491"
"1","-122.227518","37.992456"
"1","-122.227607","37.99231"
"1","-122.227596","37.992253"
"1","-122.227689","37.99223"
"1","-122.22759","37.992107"
"1","-122.227671","37.992086"
"1","-122.227706","37.992008"
"1","-122.227792","37.991815"
"1","-122.227879","37.991621"
"1","-122.228072","37.99119"
"1","-122.228266","37.990759"
"1","-122.228496","37.990242"
"1","-122.22905","37.988998"
"1","-122.230574","37.987995"
"1","-122.23075","37.987652"
"1","-122.232242","37.986756"
"1","-122.232532","37.986033"
"1","-122.232675","37.98584"
"1","-122.232818","37.985649"
"1","-122.232938","37.985487"
"1","-122.233821","37.985132"
"1","-122.234085","37.984469"
"1","-122.234238","37.98445"
"1","-122.234392","37.98443"
"1","-122.234808","37.984376"
"1","-122.234973","37.984354"
"1","-122.236175","37.984203"
"1","-122.236835","37.984013"
"1","-122.236855","37.983891"
"1","-122.236926","37.983481"
"1","-122.237183","37.983303"
"1","-122.237184","37.983202"
"1","-122.237186","37.983101"
"1","-122.237189","37.982904"
"1","-122.23719","37.982831"
"1","-122.237192","37.982706"
"1","-122.237216","37.981063"
"1","-122.237241","37.979365"
"1","-122.23729","37.976024"
"1","-122.237314","37.974343"
"1","-122.237318","37.974064"
"1","-122.237347","37.972104"
"1","-122.237338","37.971802"
"1","-122.237328","37.971499"
"1","-122.237317","37.971149"
"1","-122.237306","37.970799"
"1","-122.237308","37.96981"
"1","-122.237309","37.96882"
"1","-122.237311","37.967717"
"1","-122.236123","37.967707"
"1","-122.234576","37.967695"
"1","-122.23303","37.967683"
"1","-122.230738","37.967664"
"1","-122.227616","37.967639"
"1","-122.23123","37.965477"
"1","-122.234591","37.963466"
"1","-122.237952","37.961455"
"1","-122.238391","37.961192"
"1","-122.230906","37.953847"
"1","-122.230854","37.953803"
"1","-122.230815","37.953769"
"1","-122.230615","37.953573"
"1","-122.23057","37.953529"
"1","-122.230324","37.953288"
"1","-122.22998","37.952951"
"1","-122.229637","37.952614"
"1","-122.228902","37.951894"
"1","-122.226304","37.949348"
"1","-122.220436","37.948018"
"1","-122.22043","37.946795"
"1","-122.220423","37.945572"
"1","-122.220422","37.945412"
"1","-122.220422","37.94533"
"1","-122.220422","37.945253"
"1","-122.220411","37.943215"
"1","-122.221018","37.942756"
"1","-122.224266","37.940308"
"1","-122.224795","37.93991"
"1","-122.224299","37.939518"
"1","-122.224139","37.939391"
"1","-122.223978","37.939264"
"1","-122.2222","37.937859"
"1","-122.224356","37.936191"
"1","-122.224684","37.935937"
"1","-122.225255","37.935496"
"1","-122.226154","37.9348"
"1","-122.22698","37.934161"
"1","-122.227807","37.933521"
"1","-122.228269","37.933164"
"1","-122.228731","37.932806"
"1","-122.229045","37.932562"
"1","-122.231088","37.930982"
"1","-122.233446","37.929158"
"1","-122.234249","37.92859"
"1","-122.234861","37.928159"
"1","-122.236276","37.92716"
"1","-122.236659","37.926889"
"1","-122.23687","37.926741"
"1","-122.237463","37.926322"
"1","-122.238474","37.925269"
"1","-122.2387","37.925205"
"1","-122.238762","37.925188"
"1","-122.240755","37.924631"
"1","-122.243148","37.923962"
"1","-122.243846","37.923766"
"1","-122.245541","37.923292"
"1","-122.246055","37.923142"
"1","-122.247883","37.922664"
"1","-122.249379","37.922277"
"1","-122.249468","37.922255"
"1","-122.25387","37.921119"
"1","-122.254872","37.920861"
"1","-122.255368","37.920734"
"1","-122.256547","37.920873"
"1","-122.258508","37.921106"
"1","-122.259886","37.921269"
"1","-122.260085","37.921292"
"1","-122.261265","37.921432"
"1","-122.261256","37.921417"
"1","-122.261197","37.921349"
"1","-122.261144","37.921275"
"1","-122.261076","37.921181"
"1","-122.26101","37.9211"
"1","-122.260906","37.921"
"1","-122.26083","37.92095"
"1","-122.260742","37.9209"
"1","-122.260708","37.920886"
"1","-122.260605","37.920845"
"1","-122.260523","37.920817"
"1","-122.260117","37.920864"
"1","-122.259456","37.920787"
"1","-122.259177","37.920755"
"1","-122.259123","37.920751"
"1","-122.258629","37.920711"
"1","-122.258234","37.920695"
"1","-122.257471","37.920802"
